id,row_id,title,authors,venue,year,pages,volume,issue,doi,isbn,publisher,institution,country,language,keywords,abstract,funding,citation_count,h_index,impact_factor,open_access,conference_type,peer_reviewed
11,11,Neural Networks for Enhancement Revisited,"White, Ashley; Mia P.; Brenda Lopez",VLDB,2021,488-520,42,8,10.3340/5443951,978-2-352-83579-8,Nature,University of Cambridge,Netherlands,English,"optimization, analysis, classification, prediction, neural networks, deep learning, computer vision",This paper presents a novel approach to neural networks using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,839,19,1.95,True,Workshop,True
12,12,Towards Database Systems for Enhancement,"E. Scott; A. P. Thompson; Adams, O.; E. B. Cook",EMNLP,2015,349-870,8,11,10.9797/5476583,978-5-214-48469-6,Springer,Tesla,USA,German,"clustering, computer vision, neural networks, algorithms, deep learning, statistics, classification, nlp",This paper presents a novel approach to database systems using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,795,25,5.62,True,Regional,False
13,13,Database Systems for Enhancement,"Emma Scott; Andrew Thompson; Adams, O.; Ella C.",EMNLP,2015,349-870,8,11,10.9797/5476583,978-5-214-48469-6,Springer,Tesla,USA,German,"clustering, computer vision, neural networks, algorithms, deep learning, statistics, classification, nlp",This paper presents a novel approach to database systems using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,771,25,5.62,True,Regional,False
14,14,A Database Systems for Enhancement,"Scott, E.; A. Thompson; Adams, O.; Ella Cook",EMNLP,2015,349-870,8,11,10.7568/2156393,978-5-214-48469-6,Springer,Tesla,USA,German,"clustering, computer vision, neural networks, algorithms, deep learning, statistics, classification, nlp",This paper presents a novel approach to database systems using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,829,25,5.62,True,Regional,False
15,15,A Machine Learning for Analysis,"J. C. Martin; Williams, S.; Morgan, Jonathan",International Conference on Machine Learning,2024,485-541,6,12,10.8962/2161193,978-8-884-26483-2,Wiley,University of Washington,Australia,English,"computer vision, nlp, prediction, classification, statistics",This paper presents a novel approach to machine learning using advanced techniques. Our method shows significant improvements over existing approaches.,EPSRC,749,44,4.29,False,Workshop,False
16,16,Towards Machine Learning for Analysis,J. M.; Sarah Williams; Jonathan Morgan,ICML,2024,485-541,6,12,,978-8-884-26483-2,Wiley,University of Washington,Australia,English,"computer vision, nlp, prediction, classification, statistics",This paper presents a novel approach to machine learning using advanced techniques. Our method shows significant improvements over existing approaches.,EPSRC,774,44,4.29,False,Workshop,False
17,17,On Machine Learning for Analysis,J. Martin; S. W.; J. N. Morgan,ICML,2024,144-159,6,12,10.4792/9720112,978-8-884-26483-2,Wiley,University of Washington,Australia,English,"computer vision, nlp, prediction, classification, statistics",This paper presents a novel approach to machine learning using advanced techniques. Our method shows significant improvements over existing approaches.,EPSRC,775,44,4.29,False,Workshop,False
18,18,Natural Language Processing for Prediction Revisited,Michelle R.,Association for the Advancement of Artificial Intelligence,2014,302-784,15,10,10.4608/1120642,978-1-824-92719-0,Elsevier,Harvard University,Israel,English,"deep learning, computer vision, classification, clustering, analysis",This paper presents a novel approach to natural language processing using advanced techniques. Our method shows significant improvements over existing approaches.,EPSRC,591,21,7.37,False,National,False
19,19,Towards Natural Language Processing for Prediction,"Rodriguez, M.",Association for the Advancement of Artificial Intelligence,2015,302-784,15,10,10.4608/1120642,978-1-824-92719-0,Elsevier,Harvard University,Israel,English,"deep learning, computer vision, clustering, classification, analysis",This paper presents a novel approach to natural language processing using advanced techniques. Our method shows significant improvements over existing approaches.,EPSRC,570,21,7.37,False,National,False
20,20,A Software Engineering for Classification,"Roberts, Kenneth",Association for the Advancement of Artificial Intelligence,2021,81-110,27,8,10.1887/2651177,978-0-512-54473-1,Elsevier,Microsoft Research,Germany,Chinese,"statistics, prediction, neural networks, classification, clustering, analysis",This paper presents a novel approach to software engineering using advanced techniques. Our method shows significant improvements over existing approaches.,DARPA,409,75,1.43,True,International,True
21,21,Towards Software Engineering for Classification,"Roberts, Kenneth",AAAI,2022,182-717,27,8,10.1887/2651177,978-0-512-54473-1,Elsevier,Microsoft Research,Germany,Chinese,"neural networks, prediction, classification, clustering, statistics, analysis",This paper presents a new method to software engineering using advanced techniques. Our method shows better performance over existing approaches.,DARPA,454,75,1.43,True,International,True
22,22,Software Engineering for Classification: A Survey,K. Roberts,Association for the Advancement of Artificial Intelligence,2021,34-56,27,8,10.1887/2651177,978-0-512-54473-1,Elsevier,Microsoft Research,Germany,Chinese,"statistics, neural networks, analysis, prediction, clustering, classification",This paper presents a novel approach to software engineering using advanced techniques. Our method shows significant improvements over existing approaches.,DARPA,458,75,1.43,True,International,True
23,23,Data Mining for Optimization Revisited,"Ashley White; Ella M. Cook; Hall, K.; Scarlett B.",Empirical Methods in Natural Language Processing,2015,85-695,1,7,10.5026/5951043,978-4-533-82845-7,Springer,Microsoft Research,France,English,"nlp, data mining, computer vision",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,776,45,1.04,False,National,True
24,24,Data Mining for Optimization,"White, Ashley; Ella C.; K. H.; S. B.",EMNLP,2015,85-695,1,7,10.5345/8633773,978-4-533-82845-7,Springer,Microsoft Research,France,English,"nlp, data mining, computer vision",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,779,45,1.04,False,National,True
25,25,Data Mining for Optimization: A Survey,"White, Ashley; Ella Cook; K. H.; Bailey, Scarlett",EMNLP,2015,85-695,1,7,10.5345/8633773,978-4-533-82845-7,Springer,Microsoft Research,France,English,"nlp, computer vision, data mining",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,749,45,1.04,False,National,True
26,26,On Data Mining for Optimization,Ashley White; E. C.; Kimberly S. Hall; Scarlett B.,EMNLP,2015,85-695,1,7,10.5345/8633773,978-4-533-82845-7,Springer,Microsoft Research,France,English,"nlp, data mining, computer vision",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,760,45,1.04,False,National,True
27,27,On Distributed Systems for Prediction,D. N.,International Conference on Machine Learning,2016,20-35,16,7,10.4584/1334336,978-9-708-15209-9,ACM,NVIDIA,Switzerland,Chinese,"computer vision, optimization, clustering, classification, algorithms, ai, data mining",This paper presents a new method to distributed systems using advanced techniques. Our method shows better performance over existing approaches.,Horizon 2020,162,90,6.63,False,Regional,True
28,28,A Distributed Systems for Prediction,Donald N.,International Conference on Machine Learning,2016,346-942,16,7,10.2964/5130808,978-9-708-15209-9,ACM,NVIDIA,Switzerland,Chinese,"algorithms, ai, optimization, computer vision, clustering, data mining, classification",This paper presents a novel approach to distributed systems using advanced techniques. Our method shows significant improvements over existing approaches.,Horizon 2020,168,90,6.63,False,Regional,True
29,29,Distributed Systems for Prediction Revisited,D. Nelson,International Conference on Machine Learning,2016,81-118,16,7,10.2964/5130808,978-9-708-15209-9,ACM,NVIDIA,Switzerland,Chinese,"computer vision, optimization, clustering, classification, algorithms, ai, data mining",This paper presents a new method to distributed systems using advanced techniques. Our method shows better performance over existing approaches.,Horizon 2020,155,90,6.63,False,Regional,True
30,30,Towards Distributed Systems for Prediction,"Nelson, D.",ICML,2016,346-942,16,7,10.2964/5130808,978-9-708-15209-9,ACM,NVIDIA,Switzerland,Chinese,"optimization, ai, computer vision, classification, clustering, algorithms, data mining",This paper presents a novel approach to distributed systems using advanced techniques. Our method shows significant improvements over existing approaches.,Horizon 2020,162,90,6.63,False,Regional,True
31,31,On Machine Learning for Enhancement,D. Brown,International Conference on Computer Vision,2023,110-760,17,3,10.6718/2154126,978-3-478-47353-2,MIT Press,INRIA,Australia,German,"nlp, ai, algorithms, machine learning, computer vision",This paper presents a novel approach to machine learning using advanced techniques. Our method shows significant improvements over existing approaches.,JST,992,89,1.48,True,Regional,True
32,32,Machine Learning for Enhancement,"Brown, David",ICCV,2023,225-261,17,3,10.6718/2154126,978-3-478-47353-2,MIT Press,INRIA,Australia,German,"nlp, algorithms, ai, computer vision, machine learning",This paper presents a novel approach to machine learning using advanced techniques. Our method shows significant improvements over existing approaches.,JST,973,89,1.48,True,Regional,True
33,33,Natural Language Processing for Enhancement,A. G.; J. F. Martinez,WWW,2024,11-41,22,4,10.5325/9479356,978-7-357-16658-1,Wiley,NVIDIA,Spain,English,"machine learning, optimization, neural networks",This paper presents a novel approach to natural language processing using advanced techniques. Our method shows significant improvements over existing approaches.,ANR,135,99,4.7,False,International,True
34,34,On Natural Language Processing for Enhancement,A. Garcia; J. K. Martinez,Web Conference,2023,108-868,22,4,10.5325/9479356,978-7-357-16658-1,Wiley,NVIDIA,Spain,English,"machine learning, optimization, neural networks",This paper presents a novel approach to natural language processing using advanced techniques. Our method shows significant improvements over existing approaches.,ANR,167,99,4.7,False,International,True
35,35,On Natural Language Processing for Enhancement,"Garcia, Amanda; Martinez, Joshua",World Wide Web,2024,293-338,22,4,10.5325/9479356,978-7-357-16658-1,Wiley,NVIDIA,Spain,English,"machine learning, optimization, neural networks",This paper presents a novel approach to natural language processing using advanced techniques. Our method shows significant improvements over existing approaches.,ANR,152,99,4.7,False,International,True
36,36,On Computer Vision for Prediction,M. T. Rogers,VLDB,2019,150-165,10,7,10.3088/1701771,978-4-473-15229-5,Elsevier,McGill University,Germany,German,"optimization, algorithms, computer vision",This paper presents a novel approach to computer vision using advanced techniques. Our method shows significant improvements over existing approaches.,Google,980,84,7.62,True,National,True
37,37,Computer Vision for Prediction,Madison U. Rogers,VLDB,2020,299-783,10,7,,978-4-473-15229-5,Elsevier,McGill University,Germany,German,"algorithms, optimization, computer vision",This paper presents a novel approach to computer vision using advanced techniques. Our method shows significant improvements over existing approaches.,Google,1032,84,7.62,True,National,True
38,38,Computer Vision for Prediction,"Rogers, M.",Very Large Data Bases,2020,299-783,10,7,10.3088/1701771,978-4-473-15229-5,Elsevier,McGill University,Germany,German,"optimization, algorithms, computer vision",This paper presents a novel approach to computer vision using advanced techniques. Our method shows significant improvements over existing approaches.,Google,1007,84,7.62,True,National,True
39,39,Computer Vision for Prediction Revisited,M. H. Rogers,Very Large Data Bases,2019,299-783,10,7,10.3088/1701771,978-4-473-15229-5,Elsevier,McGill University,Germany,German,"optimization, algorithms, computer vision",This paper presents a new method to computer vision using advanced techniques. Our method shows better performance over existing approaches.,Google,1043,84,7.62,True,National,True
40,40,A Software Engineering for Prediction,N. S.; G. R.; Steven Allen,NeurIPS,2019,137-582,45,2,10.7267/1649691,978-7-327-36158-7,Science,Facebook AI,Spain,French,"classification, machine learning, ai, statistics",This paper presents a novel approach to software engineering using advanced techniques. Our method shows significant improvements over existing approaches.,Horizon 2020,379,40,8.71,False,Regional,False
41,41,Software Engineering for Prediction,"Nicholas C. Stewart; Grace R. Richardson; Allen, S.",NeurIPS,2018,137-582,45,2,10.9561/8039616,978-7-327-36158-7,Science,Facebook AI,Spain,French,"machine learning, classification, ai, statistics",This paper presents a novel approach to software engineering using advanced techniques. Our method shows significant improvements over existing approaches.,Horizon 2020,298,40,8.71,False,Regional,False
42,42,Software Engineering for Prediction: A Survey,"Stewart, N.; Richardson, Grace; S. M. Allen",Neural Information Processing Systems,2018,142-177,45,2,10.7267/1649691,978-7-327-36158-7,Science,Facebook AI,Spain,French,"classification, machine learning, ai, statistics",This paper presents a new method to software engineering using advanced techniques. Our method shows better performance over existing approaches.,Horizon 2020,328,40,8.71,False,Regional,False
43,43,A Algorithms for Classification,J. B. Morgan,Association for Computational Linguistics,2019,419-448,17,1,10.2776/8290770,978-5-846-51114-6,Oxford University Press,NYU,Canada,English,"classification, clustering, machine learning, prediction, data mining, computer vision, statistics",This paper presents a novel approach to algorithms using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,420,13,9.51,False,Regional,True
44,44,A Algorithms for Classification,J. J. Morgan,Association for Computational Linguistics,2019,92-798,17,1,10.2776/8290770,978-5-846-51114-6,Oxford University Press,NYU,Canada,English,"statistics, prediction, computer vision, machine learning, classification, data mining, clustering",This paper presents a novel approach to algorithms using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,455,13,9.51,False,Regional,True
45,45,Algorithms for Classification Revisited,Jonathan Morgan,ACL,2019,92-798,17,1,10.2776/8290770,978-5-846-51114-6,Oxford University Press,NYU,Canada,English,"classification, clustering, machine learning, prediction, data mining, computer vision, statistics",This paper presents a novel approach to algorithms using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,481,13,9.51,False,Regional,True
46,46,A Algorithms for Classification,"Morgan, J.",Association for Computational Linguistics,2019,92-798,17,1,,978-5-846-51114-6,Oxford University Press,NYU,Canada,English,"classification, clustering, machine learning, prediction, data mining, computer vision, statistics",This paper presents a novel approach to algorithms using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,413,13,9.51,False,Regional,True
47,47,On Robotics for Analysis,"Clark, K.; Kimberly H.; J. Phillips; Joshua Martinez",Computer Vision and Pattern Recognition,2022,66-599,27,11,10.7211/3919694,978-9-682-49446-6,Cambridge University Press,INRIA,USA,English,"data mining, classification, nlp, optimization, prediction",This paper presents a novel approach to robotics using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,484,61,6.92,False,National,True
48,48,A Robotics for Analysis,"Kevin Clark; Hall, Kimberly; Phillips, Jason; Martinez, Joshua",Computer Vision and Pattern Recognition,2023,66-599,27,11,10.7211/3919694,978-9-682-49446-6,Cambridge University Press,INRIA,USA,English,"classification, prediction, nlp, data mining, optimization",This paper presents a novel approach to robotics using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,481,61,6.92,False,National,True
49,49,Robotics for Analysis Revisited,"K. Clark; Hall, K.; Phillips, Jason; J. Martinez",Computer Vision and Pattern Recognition,2024,66-599,27,11,10.7211/3919694,978-9-682-49446-6,Cambridge University Press,INRIA,USA,English,"classification, prediction, nlp, data mining, optimization",This paper presents a novel approach to robotics using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,440,61,6.92,False,National,True
50,50,A Robotics for Enhancement,"E. D.; Eric B. Morris; Edwards, G.",CVPR,2018,345-659,15,4,10.3414/1409790,978-0-350-72277-9,arXiv,University of Oxford,Canada,English,"ai, nlp, classification, prediction, analysis, statistics",This paper presents a new method to robotics using advanced techniques. Our method shows better performance over existing approaches.,DFG,191,88,7.03,True,Workshop,True
51,51,On Robotics for Enhancement,"Davis, E.; E. M.; G. V. Edwards",Computer Vision and Pattern Recognition,2018,345-659,15,4,10.3414/1409790,978-0-350-72277-9,arXiv,Univ. of Oxford,Canada,English,"nlp, classification, statistics, analysis, prediction, ai",This paper presents a novel approach to robotics using advanced techniques. Our method shows significant improvements over existing approaches.,DFG,129,88,7.03,True,Workshop,True
52,52,Data Mining for Enhancement: A Survey,"Williams, S.; Adams, Olivia; Martin, Jessica; L. Cooper",Knowledge Discovery and Data Mining,2015,234-569,30,11,10.9702/6323376,978-7-727-76162-6,arXiv,Princeton,South Korea,English,"statistics, analysis, algorithms, clustering, classification, ai, data mining, optimization",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,DFG,283,61,1.24,False,National,True
53,53,Data Mining for Enhancement,"Sarah W.; Adams, O.; J. N. Martin; Cooper, L.",KDD,2016,234-569,30,11,10.9702/6323376,978-7-727-76162-6,arXiv,Princeton,South Korea,English,"statistics, analysis, algorithms, clustering, classification, ai, data mining, optimization",This paper presents a new method to data mining using advanced techniques. Our method shows better performance over existing approaches.,DFG,266,61,1.24,False,National,True
54,54,A Data Mining for Enhancement,Sarah W.; Olivia A.; J. Martin; Larry E. Cooper,Knowledge Discovery and Data Mining,2016,234-569,30,11,,978-7-727-76162-6,arXiv,Princeton,South Korea,English,"ai, statistics, algorithms, classification, analysis, data mining, optimization, clustering",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,DFG,275,61,1.24,False,National,True
55,55,Data Mining for Enhancement: A Survey,"S. Williams; Adams, Olivia; J. Martin; Cooper, Larry",Knowledge Discovery and Data Mining,2016,234-569,30,11,10.9702/6323376,978-7-727-76162-6,arXiv,Princeton,South Korea,English,"statistics, analysis, algorithms, clustering, classification, ai, data mining, optimization",This paper presents a new method to data mining using advanced techniques. Our method shows better performance over existing approaches.,DFG,293,61,1.24,False,National,True
56,56,A Bioinformatics for Enhancement,James F. Moore,ACL,2017,119-697,45,3,10.4505/2077581,978-6-517-53369-8,MIT Press,NVIDIA,USA,English,"prediction, algorithms, nlp, machine learning, data mining, statistics",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,Amazon,2,50,3.34,False,Workshop,True
57,57,Towards Bioinformatics for Enhancement,James Moore,Association for Computational Linguistics,2017,119-697,45,3,,978-6-517-53369-8,MIT Press,NVIDIA,USA,English,"prediction, algorithms, nlp, machine learning, data mining, statistics",This paper presents a novel approach to bioinformatics using advanced techniques. Our method shows significant improvements over existing approaches.,Amazon,39,50,3.34,False,Workshop,True
58,58,Bioinformatics for Enhancement,J. Moore,Association for Computational Linguistics,2017,130-170,45,3,10.4505/2077581,978-6-517-53369-8,MIT Press,NVIDIA,USA,English,"prediction, algorithms, nlp, machine learning, data mining, statistics",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,Amazon,9,50,3.34,False,Workshop,True
59,59,Security for Analysis,"Lopez, Brenda; Jane D.; W. Walker; M. Rodriguez",Association for the Advancement of Artificial Intelligence,2021,102-150,30,3,10.9751/1452421,978-6-706-83975-0,ACM,University of Toronto,China,English,"classification, prediction, clustering, neural networks, optimization, machine learning",This paper presents a novel approach to security using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,372,48,7.73,False,Regional,False
60,60,Security for Analysis Revisited,B. L.; Jane Doe; W. Walker; M. D. Rodriguez,AAAI,2021,371-585,30,3,10.2659/5293157,978-6-706-83975-0,ACM,University of Toronto,China,English,"neural networks, machine learning, clustering, prediction, optimization, classification",This paper presents a novel approach to security using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,317,48,7.73,False,Regional,False
61,61,Security for Analysis Revisited,"B. Lopez; Jane Doe; Walker, W.; Rodriguez, M.",Association for the Advancement of Artificial Intelligence,2021,389-401,30,3,10.3267/3860721,978-6-706-83975-0,ACM,University of Toronto,China,English,"neural networks, machine learning, clustering, prediction, optimization, classification",This paper presents a novel approach to security using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,318,48,7.73,False,Regional,False
62,62,Towards Security for Analysis,"Lopez, B.; Jane D.; William D. Walker; M. M. Rodriguez",Association for the Advancement of Artificial Intelligence,2021,371-585,30,3,10.9751/1452421,978-6-706-83975-0,ACM,University of Toronto,China,English,"machine learning, neural networks, classification, optimization, prediction, clustering",This paper presents a novel approach to security using advanced techniques. Our method shows significant improvements over existing approaches.,Microsoft,370,48,7.73,False,Regional,False
63,63,IR for Classification,"Jane T. Doe; Evans, H.; Anthony Green; Sarah W.",International Conference on Data Engineering,2020,211-249,5,11,10.5286/6272037,978-3-304-12671-9,Springer,OpenAI,UK,English,"analysis, optimization, classification, clustering, deep learning, nlp, algorithms, neural networks",This paper presents a novel approach to information retrieval using advanced techniques. Our method shows significant improvements over existing approaches.,DOE,832,25,9.66,True,International,True
64,64,On Information Retrieval for Classification,Jane D.; Harper Evans; Anthony G.; S. Q. Williams,International Conference on Data Engineering,2020,252-282,5,11,10.1659/1520596,978-3-304-12671-9,Springer,OpenAI,UK,English,"analysis, clustering, optimization, algorithms, neural networks, deep learning, classification, nlp",This paper presents a novel approach to information retrieval using advanced techniques. Our method shows significant improvements over existing approaches.,DOE,819,25,9.66,True,International,True
65,65,Information Retrieval for Classification: A Survey,"J. C. Doe; Evans, H.; A. D. Green; Sarah Williams",ICDE,2020,282-292,5,11,10.1659/1520596,978-3-304-12671-9,Springer,OpenAI,UK,English,"deep learning, nlp, classification, analysis, clustering, optimization, neural networks, algorithms",This paper presents a novel approach to information retrieval using advanced techniques. Our method shows significant improvements over existing approaches.,DOE,811,25,9.66,True,International,True
66,66,A Theory for Optimization,"A. U. Campbell; Jackson, M.; D. B.; Gonzalez, S.",Information Retrieval,2018,53-857,50,5,10.2983/1689025,978-5-645-66148-5,ACM,NYU,Switzerland,English,"statistics, prediction, analysis",This paper presents a new method to theory using advanced techniques. Our method shows better performance over existing approaches.,DOE,438,51,6.54,False,National,False
67,67,Towards Theory for Optimization,"Campbell, Amelia; Jackson, M.; D. Brown; Sophia G.",Information Retrieval,2018,53-857,50,5,10.2983/1689025,978-5-645-66148-5,ACM,NYU,Switzerland,English,"statistics, prediction, analysis",This paper presents a new method to theory using advanced techniques. Our method shows better performance over existing approaches.,DOE,443,51,6.54,False,National,False
68,68,A Theory for Optimization,"A. C.; Jackson, M.; David D. Brown; S. Gonzalez",Information Retrieval,2018,53-857,50,5,10.2983/1689025,978-5-645-66148-5,ACM,NYU,Switzerland,English,"analysis, statistics, prediction",This paper presents a novel approach to theory using advanced techniques. Our method shows significant improvements over existing approaches.,DOE,454,51,6.54,False,National,False
69,69,On Theory for Optimization,Amelia C.; Matthew J.; David B.; Sophia D. Gonzalez,Information Retrieval,2018,53-857,50,5,10.2983/1689025,978-5-645-66148-5,ACM,NYU,Switzerland,English,"statistics, prediction, analysis",This paper presents a novel approach to theory using advanced techniques. Our method shows significant improvements over existing approaches.,DOE,436,51,6.54,False,National,False
70,70,Data Mining for Enhancement Revisited,"Isabella C.; Abigail E. Sanchez; Cooper, Larry",Web Conference,2023,397-748,30,7,10.5397/6407373,978-3-950-21359-4,bioRxiv,Tesla,Germany,French,"statistics, optimization, ai, prediction, machine learning, nlp",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,Amazon,904,46,2.23,True,Regional,True
71,71,A Data Mining for Enhancement,"Carter, I.; A. Sanchez; Cooper, L.",Web Conference,2023,397-748,30,7,10.5397/6407373,978-3-950-21359-4,bioRxiv,Tesla,Germany,French,"nlp, statistics, ai, prediction, optimization, machine learning",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,Amazon,857,46,2.23,True,Regional,True
72,72,Data Mining for Enhancement Revisited,Isabella Carter; A. Sanchez; Larry A. Cooper,WWW,2022,385-405,30,7,10.5397/6407373,978-3-950-21359-4,bioRxiv,Tesla,Germany,French,"nlp, ai, statistics, optimization, machine learning, prediction",This paper presents a novel approach to data mining using advanced techniques. Our method shows significant improvements over existing approaches.,Amazon,834,46,2.23,True,Regional,True
73,73,Towards Bioinformatics for Enhancement,"O. A.; John X. Smith; Scott, Emma",IJCAI,2018,44-624,47,7,10.9004/5031966,978-7-761-74332-7,PMLR,MIT,Canada,English,"prediction, data mining, classification, clustering",This paper presents a novel approach to bioinformatics using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,435,75,5.54,False,Regional,True
74,74,Towards Bioinformatics for Enhancement,"O. A.; J. T. Smith; Scott, E.",IJCAI,2018,44-624,47,7,10.9004/5031966,978-7-761-74332-7,PMLR,MIT,Canada,English,"prediction, data mining, classification, clustering",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,ERC,456,75,5.54,False,Regional,True
75,75,Towards Bioinformatics for Enhancement,"O. Adams; John Smith; Scott, Emma",International Joint Conference on Artificial Intelligence,2018,44-624,47,7,10.9004/5031966,978-7-761-74332-7,PMLR,MIT,Canada,English,"prediction, data mining, classification, clustering",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,ERC,453,75,5.54,False,Regional,True
76,76,Bioinformatics for Enhancement: A Survey,"Olivia Adams; Smith, John; Scott, E.",IJCAI,2018,44-624,47,7,10.9004/5031966,978-7-761-74332-7,PMLR,MIT,Canada,English,"data mining, clustering, classification, prediction",This paper presents a novel approach to bioinformatics using advanced techniques. Our method shows significant improvements over existing approaches.,ERC,461,75,5.54,False,Regional,True
